goos: darwin
goarch: arm64
pkg: benchmarks
cpu: Apple M4 Max
BenchmarkStartupTime-16             	     289	   4049304 ns/op	   4170875 ns/startup	    6336 B/op	      31 allocs/op
BenchmarkStartupTime-16             	     297	   4045211 ns/op	   3891708 ns/startup	    6336 B/op	      31 allocs/op
BenchmarkStartupTime-16             	     298	   3933513 ns/op	   4073750 ns/startup	    6336 B/op	      31 allocs/op
BenchmarkConfigLoading-16           	     302	   3839144 ns/op	   3637583 ns/config-load	    6416 B/op	      31 allocs/op
BenchmarkConfigLoading-16           	     332	   3610712 ns/op	   3465084 ns/config-load	    6416 B/op	      31 allocs/op
BenchmarkConfigLoading-16           	     333	   3619986 ns/op	   3461375 ns/config-load	    6416 B/op	      31 allocs/op
BenchmarkCommandOverhead/Direct-16  	    1065	   1129894 ns/op	   1095209 ns/direct	    9752 B/op	      72 allocs/op
BenchmarkCommandOverhead/Direct-16  	    1059	   1132642 ns/op	   1165292 ns/direct	    9752 B/op	      72 allocs/op
BenchmarkCommandOverhead/Direct-16  	    1086	   1147038 ns/op	   1200042 ns/direct	    9752 B/op	      72 allocs/op
BenchmarkCommandOverhead/Wrapped-16 	     212	   5574160 ns/op	   5659959 ns/wrapped	    6464 B/op	      31 allocs/op
BenchmarkCommandOverhead/Wrapped-16 	     230	   5069054 ns/op	   6194708 ns/wrapped	    6464 B/op	      31 allocs/op
BenchmarkCommandOverhead/Wrapped-16 	     231	   5119700 ns/op	   5378459 ns/wrapped	    6464 B/op	      31 allocs/op
BenchmarkBackoffStrategies/fixed-16 	     230	   5342960 ns/op	   5374208 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/fixed-16 	     225	   5238172 ns/op	   5161875 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/fixed-16 	     232	   5284177 ns/op	   7239750 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/exponential-16         	     204	   5634646 ns/op	   5666916 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/exponential-16         	     222	   5178934 ns/op	   5056542 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/exponential-16         	     229	   5158221 ns/op	   5203750 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/jitter-16              	     232	   5128721 ns/op	   5274541 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/jitter-16              	     236	   5084013 ns/op	   4971541 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/jitter-16              	     236	   5037209 ns/op	   5116584 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/linear-16              	     219	   5610531 ns/op	   5334583 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/linear-16              	     213	   5055238 ns/op	   4974167 ns/strategy	    6592 B/op	      31 allocs/op
BenchmarkBackoffStrategies/linear-16              	     238	   5015170 ns/op	   5001208 ns/strategy	    6592 B/op	      31 allocs/op
